Name,Conscientiousness,Conscientiousness_SampleError,Openness,Openness_SampleError,Agreeablenes,Agreeablenes_SampleError,Emotionalrange,Emotionalrange_SampleError,Extraversion,Extraversion_SampleError
Adam Schiff,38,8,84,4,9,8,45,8,42,4
Al Franken,64,8,71,4,21,8,22,8,56,4
Albio Sires,90,8,89,5,18,8,13,7,40,4
Alcee L. Hastings,78,9,74,5,22,9,29,8,50,5
Alma S. Adams,81,9,73,5,34,9,17,8,42,5
Amy Klobuchar,66,8,66,4,15,8,35,8,41,4
André Carson,15,9,53,5,79,9,56,8,60,5
Ann McLane Kuster,89,8,74,4,45,8,16,7,55,4
Barbara Mikulski,53,8,56,4,17,8,43,8,48,4
Ben Ray Lujan,87,8,89,5,6,8,20,8,11,5
Bernie Sanders,28,8,78,4,6,8,47,8,23,4
Betty McCollum,79,8,80,4,19,8,22,8,39,4
Bill Foster,71,8,75,4,38,8,20,7,53,4
Bill Keating,96,8,86,5,21,8,9,8,35,5
Bill Nelson,59,9,86,5,13,9,31,8,21,5
Bill Pascrell,88,8,86,5,22,8,15,8,32,4
Bob Brady,85,9,78,5,34,9,17,8,47,5
Bobby L. Rush,84,9,89,5,9,9,15,8,23,5
Bonnie WatsonColeman,53,8,79,5,17,8,34,7,43,4
Brad Ashford,79,8,73,4,36,8,22,7,43,4
Brad Sherman,62,9,93,5,5,9,15,8,48,5
Brenda Lawrence,67,8,82,5,18,8,24,7,55,4
Brendan Boyle,77,8,82,4,19,8,25,7,32,4
Brian Higgins,94,8,88,4,8,8,13,7,14,4
Brian Schatz,80,8,79,4,28,8,21,7,41,4
Carolyn  B. Maloney,67,8,78,4,12,8,34,7,42,4
Chaka Fattah,92,8,91,4,7,8,17,7,9,4
Charles Rangel,48,8,43,5,54,8,41,7,85,4
Chellie Pingree,55,8,77,4,15,8,36,7,46,4
Chris Murphy,52,8,77,4,16,8,34,8,47,4
Chris Van Hollen,53,8,66,5,34,8,37,8,66,5
Chuck Schumer,74,8,76,4,14,8,25,7,34,4
Claire McCaskill,15,9,53,5,79,9,56,8,60,5
Collin Peterson,92,10,85,6,33,10,2,9,52,6
Congressman Al Green,15,9,53,5,79,9,56,8,60,5
Congressman Ami Bera,72,8,41,4,54,8,26,7,71,4
Congressman Nadler,51,8,85,4,6,8,42,7,44,4
Congressman Sam Farr,66,8,62,4,36,8,24,7,62,4
Congressman Tim Ryan,72,8,69,4,35,8,25,8,51,4
Congressmember Bass,15,9,53,5,79,9,56,8,60,5
Corrine Brown,81,8,85,5,10,8,18,8,33,5
Cory Booker,36,8,13,4,98,8,9,7,99,4
D Wasserman Schultz,60,8,68,4,48,8,28,8,75,4
Dave Loebsack,89,9,79,5,41,9,11,8,68,5
David E. Price,83,8,84,4,12,8,19,7,27,4
David N. Cicilline,79,8,67,4,46,8,22,7,63,4
David Scott,60,8,88,5,6,8,27,8,22,5
Debbie Stabenow,15,9,53,5,79,9,56,8,60,5
Denny Heck,74,8,79,4,17,8,16,7,23,4
Dina Titus,77,8,46,5,73,8,14,7,85,4
Donald Norcross,85,8,79,4,30,8,19,7,47,4
Donald Payne Jr.,66,8,74,4,16,8,29,7,42,4
Dutch Ruppersberger,86,8,78,5,33,8,16,7,52,4
Earl Blumenauer,64,8,82,4,9,8,39,7,25,4
Ed Markey,55,8,73,4,8,8,44,7,35,4
Elijah E. Cummings,67,8,84,5,11,8,27,8,34,5
Eliot Engel,67,8,79,5,19,8,30,8,44,5
Elizabeth Esty,79,8,65,4,47,8,22,8,60,4
Elizabeth Warren,48,8,70,5,12,8,38,8,40,5
Frederica Wilson,15,9,53,5,79,9,56,8,60,5
G. K. Butterfield,83,8,86,5,15,8,13,7,34,4
Gerry Connolly,78,8,84,4,13,8,25,8,40,4
Grace Meng,84,8,82,4,19,8,17,7,48,4
Gregory Meeks,76,8,92,4,9,8,20,7,26,4
Gwen Moore,52,8,56,4,43,8,36,7,77,4
Hakeem Jeffries,75,8,89,5,9,8,29,8,20,5
Hillary Clinton,35,8,56,4,43,8,38,7,71,4
Jackie Speier,40,8,81,4,7,8,40,7,51,4
James E. Clyburn,75,8,80,5,26,8,19,7,46,4
Jan Schakowsky,53,8,70,4,23,8,32,7,59,4
Janice Hahn,15,9,53,5,79,9,56,8,60,5
Jared Huffman,83,8,84,4,12,8,22,7,29,4
Jerry McNerney,79,8,70,5,29,8,22,8,53,5
